nameseq,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,label
URS0000000183/Faecalibacterium,0,0,1,1,1,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,2,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,2,0,1,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,rRNA
URS0000000625/uncultured,0,0,0,0,0,2,0,1,0,1,3,0,1,1,1,0,0,1,1,0,0,1,1,1,2,0,3,1,0,0,1,0,2,0,0,0,1,0,4,2,1,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,1,2,3,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,5,1,1,0,0,0,1,4,2,1,2,0,1,3,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,2,3,2,1,2,1,1,2,2,3,2,1,0,0,1,0,0,1,0,0,0,2,0,3,1,4,1,0,0,1,2,5,0,5,0,0,0,2,1,5,2,3,1,3,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,2,0,1,0,1,1,0,1,3,0,1,0,2,0,0,0,1,2,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,rRNA
URS00000004E7/Plantibacter,0,0,1,2,1,2,4,2,1,1,1,0,0,0,0,1,2,1,3,0,0,1,1,3,2,2,3,1,0,1,1,3,3,3,1,2,2,3,2,0,4,4,4,2,1,2,1,0,2,1,1,1,0,1,2,1,1,1,5,0,0,0,1,2,1,2,1,1,1,1,6,0,1,2,2,1,0,1,2,0,1,2,2,1,1,0,2,1,0,1,2,2,0,0,2,2,0,1,2,2,3,6,1,2,3,2,4,3,0,0,1,0,0,1,0,1,0,1,1,2,5,2,1,1,0,1,2,1,3,4,4,2,1,0,3,2,1,4,2,1,3,0,2,2,1,2,1,0,3,1,1,4,6,1,3,1,2,4,3,1,4,5,7,1,0,0,1,1,2,3,3,1,3,0,4,3,2,1,1,0,2,0,0,0,5,2,6,1,1,1,3,0,0,1,2,0,1,3,0,1,2,3,2,4,1,0,2,0,1,2,1,0,1,1,1,0,1,0,2,0,1,0,2,0,3,2,0,1,2,1,2,3,3,1,2,3,1,1,3,1,2,0,1,0,1,0,0,0,0,0,2,0,1,0,3,1,rRNA
URS000000050D/uncultured,5,3,4,2,4,7,6,7,3,5,7,5,2,5,6,1,4,4,6,4,4,4,4,8,7,11,4,5,2,9,4,5,14,5,6,4,7,9,9,6,11,9,9,4,2,8,7,6,3,6,7,3,3,5,9,6,6,6,9,3,3,5,6,5,5,5,8,5,3,3,8,3,4,5,5,5,1,4,7,1,8,7,7,4,4,2,3,8,2,5,6,8,5,5,4,2,3,6,6,2,10,8,6,5,8,5,9,7,6,2,11,6,5,7,3,1,5,2,5,2,8,7,10,4,6,4,3,6,5,12,14,15,5,3,9,4,7,9,13,9,4,4,6,7,5,4,9,4,3,5,6,4,8,5,8,10,5,3,13,7,18,4,11,6,5,6,5,7,15,10,9,9,9,4,9,6,12,4,4,2,8,3,4,4,9,5,13,8,7,1,4,2,5,7,8,4,6,2,8,3,8,7,4,10,4,5,3,4,4,2,2,2,4,6,8,1,4,6,9,4,3,2,7,2,6,5,6,6,3,6,7,8,3,9,16,3,6,3,6,5,5,1,4,0,2,3,5,2,5,3,5,2,2,4,7,1,rRNA
URS0000000328/uncultured,2,3,3,2,3,2,3,5,1,1,6,3,2,2,1,5,2,3,5,3,3,1,4,2,2,1,4,2,1,3,2,1,4,2,2,3,3,1,2,5,4,5,8,4,3,1,3,3,4,3,2,3,0,4,1,1,3,3,5,1,3,1,4,3,1,1,2,1,3,3,1,0,2,3,3,0,2,0,5,0,1,5,2,1,3,2,2,1,2,0,3,2,1,0,3,1,6,2,5,4,3,2,3,4,4,1,1,5,1,1,4,1,3,2,3,2,0,0,1,2,0,4,0,2,3,0,1,2,1,4,3,7,1,4,3,2,2,4,5,3,5,2,7,2,0,1,4,3,1,1,1,0,2,3,4,0,4,4,4,0,2,3,5,1,4,1,2,0,7,3,4,7,7,1,4,4,7,4,3,3,3,0,2,2,5,3,6,4,5,0,1,5,6,4,3,1,3,3,3,2,5,1,4,5,5,2,1,2,1,0,1,1,1,4,3,2,3,0,4,4,1,1,2,2,1,2,3,3,1,1,4,0,0,3,2,4,5,2,3,5,3,2,2,5,1,2,1,2,7,1,3,2,3,1,4,1,rRNA
URS000000021E/uncultured,0,1,1,1,1,0,0,2,0,0,0,1,1,0,1,1,0,0,2,1,0,2,0,1,2,0,0,0,1,0,1,2,5,1,0,2,2,2,0,0,1,1,1,1,0,0,1,1,2,1,0,1,1,0,0,0,3,2,0,0,0,1,0,1,1,1,0,2,0,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,1,0,0,2,1,2,2,1,1,1,2,2,1,1,0,1,1,0,1,0,0,1,1,2,1,0,1,0,0,0,1,0,0,2,1,0,1,1,1,1,2,2,1,3,0,1,0,0,0,3,0,1,2,0,0,1,2,2,0,2,0,0,1,1,1,1,0,0,1,1,0,1,3,2,0,0,1,1,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,2,2,1,0,0,2,1,0,2,2,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,2,1,1,1,rRNA
URS0000000054/uncultured,3,0,0,1,0,1,0,0,1,3,2,0,1,2,1,1,2,2,1,2,0,1,1,1,0,1,1,0,2,0,1,1,0,2,0,5,0,0,2,0,0,2,3,0,1,0,0,0,1,0,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,3,1,0,0,0,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,0,0,2,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,4,1,2,2,0,0,0,2,1,1,1,0,2,0,1,0,1,0,0,0,1,1,1,2,1,0,0,0,3,0,2,1,1,1,1,0,2,0,2,0,1,0,0,1,2,0,2,0,1,0,0,0,2,1,1,0,2,1,1,1,1,1,1,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0,1,1,0,1,2,2,0,0,0,1,0,0,1,0,0,0,1,rRNA
URS00000001D7/Neisseria,2,1,2,1,1,3,0,2,1,2,4,0,2,2,1,2,1,0,4,2,3,1,1,1,3,2,5,1,2,0,3,0,4,3,1,4,3,4,1,2,3,3,5,2,1,1,0,0,2,3,2,0,0,1,2,1,1,0,5,0,0,0,1,3,1,1,1,2,1,1,2,0,1,4,1,2,1,1,2,1,1,1,1,2,3,0,0,2,0,0,1,1,0,0,4,0,2,2,3,4,4,5,3,0,1,2,5,4,2,1,2,1,0,1,0,2,0,0,1,0,1,6,0,2,1,1,1,2,3,2,6,1,2,3,5,1,3,2,3,2,2,0,3,1,1,2,5,2,2,1,2,2,4,2,4,0,0,1,4,3,3,3,4,2,2,0,2,2,5,4,6,2,2,2,4,2,4,0,0,1,1,2,0,1,4,1,4,2,3,0,4,1,0,1,3,1,2,0,1,1,2,3,2,2,2,3,1,1,1,3,1,0,1,1,3,0,0,2,2,0,0,0,1,2,2,1,1,0,1,1,3,2,4,2,4,1,1,1,1,1,1,1,0,1,1,0,1,3,6,0,2,1,0,1,2,1,rRNA
URS0000000190/uncultured,2,4,8,4,8,4,8,7,6,8,14,2,2,3,6,0,6,6,7,5,4,4,7,10,6,9,7,4,4,10,8,5,11,4,5,4,6,5,11,5,11,11,11,12,6,6,11,6,6,6,8,1,6,8,5,8,6,5,9,0,0,4,6,0,7,10,8,2,3,5,6,3,8,5,5,6,2,1,5,0,11,5,5,3,4,2,8,2,5,9,9,6,2,2,6,2,8,5,12,2,8,9,10,2,12,6,6,7,4,6,8,2,5,4,5,0,6,2,4,1,7,5,13,5,7,6,5,2,7,11,15,14,5,7,9,5,7,14,10,8,2,7,3,8,2,6,7,3,2,3,4,7,9,6,10,8,7,8,10,8,16,10,14,7,6,8,5,8,10,7,16,12,9,4,9,6,14,5,5,0,6,2,8,7,12,5,13,6,7,0,6,6,8,6,10,3,7,6,7,4,6,6,5,9,6,5,5,3,5,2,4,3,3,4,5,5,3,1,8,6,3,4,3,1,7,8,5,5,3,3,5,7,8,2,12,10,7,6,6,7,4,2,1,2,3,2,4,2,7,2,4,3,0,2,5,0,rRNA
URS00000005B6/uncultured,3,1,4,0,0,1,1,1,1,0,3,2,1,0,2,1,2,0,1,0,0,0,2,2,0,2,2,0,1,0,2,0,0,1,2,2,1,1,2,1,1,3,3,0,0,1,0,1,3,1,1,0,1,2,1,0,3,1,1,0,2,0,1,0,0,0,1,1,1,1,2,0,1,0,1,1,1,2,0,1,0,0,1,3,0,0,0,1,0,1,0,2,0,0,0,1,1,2,2,2,2,2,0,2,2,1,0,0,1,0,0,1,1,2,0,1,0,1,0,0,2,0,1,0,0,0,1,0,1,2,0,3,0,0,1,2,1,4,1,0,2,0,1,0,0,1,2,0,2,1,1,0,2,1,1,0,2,2,3,0,1,2,3,1,1,0,0,1,1,1,2,2,3,1,1,0,2,1,4,1,0,0,2,0,2,0,3,0,2,0,1,1,0,1,1,0,1,1,1,1,5,2,0,3,3,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0,2,0,0,0,3,0,0,1,1,1,1,2,1,1,2,2,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,rRNA
URS00000003FC/uncultured,2,2,2,1,3,3,3,4,2,1,3,1,1,2,1,2,5,4,3,0,1,2,2,1,0,3,0,0,2,2,4,3,2,2,3,4,4,2,1,1,1,2,5,3,1,1,1,0,2,3,1,3,2,2,1,1,2,1,6,0,3,2,1,2,0,2,2,1,0,2,3,0,3,1,0,3,2,0,4,0,1,5,1,3,2,0,2,2,1,1,6,2,0,0,3,2,1,3,4,1,6,2,3,1,2,3,1,1,3,1,2,0,2,2,2,0,0,1,1,0,4,2,3,0,0,1,0,1,2,5,3,8,2,1,3,1,4,6,2,2,2,2,2,2,1,1,3,0,2,1,1,1,1,6,3,1,2,1,1,0,7,0,5,0,3,2,1,1,7,4,6,2,4,1,4,1,3,1,2,1,0,1,1,1,3,0,3,0,2,0,1,0,3,2,0,1,3,0,3,2,2,1,0,4,1,2,2,0,1,0,2,0,0,1,1,3,3,4,2,0,1,0,0,1,2,0,2,1,2,1,6,1,1,1,4,1,1,0,0,2,1,1,0,1,0,1,1,2,1,1,0,2,1,0,2,0,rRNA
URS0000000444/uncultured,0,2,1,4,2,4,3,5,1,6,6,0,3,0,0,4,4,1,5,0,2,2,2,4,1,4,2,4,2,6,3,1,3,5,1,9,2,7,6,3,2,5,4,1,1,2,4,1,2,3,3,1,0,5,4,1,3,3,9,3,3,2,2,0,4,3,4,1,1,1,4,2,3,4,1,2,0,1,3,0,3,4,2,0,2,0,3,1,0,2,6,5,0,0,4,3,4,1,6,1,4,4,3,5,6,2,7,3,4,1,3,1,3,2,5,1,0,0,2,0,3,2,6,1,3,0,3,2,6,2,7,8,2,1,4,2,7,5,6,2,3,2,3,5,1,3,2,0,4,2,2,2,5,6,3,2,4,2,8,4,10,3,7,1,5,3,4,3,5,7,6,6,5,0,8,2,6,2,3,1,3,2,1,2,9,3,4,4,2,0,3,3,2,3,6,0,0,1,3,5,5,5,2,4,2,3,3,0,0,1,2,1,2,3,4,2,2,0,6,3,2,0,1,1,2,3,3,3,1,1,4,4,8,4,5,3,4,2,4,2,3,2,1,1,0,1,2,0,2,1,1,1,1,2,3,1,rRNA
URS000000024D/uncultured,3,4,7,3,7,8,7,7,5,5,8,2,5,3,3,6,7,4,10,4,2,7,6,6,5,13,10,2,1,4,6,2,8,4,7,9,8,7,10,2,8,10,7,5,5,8,9,5,3,6,7,4,4,6,6,5,7,5,10,3,3,4,7,0,5,6,9,2,5,5,12,3,4,6,5,7,1,2,4,0,11,6,5,3,4,6,5,4,5,4,8,6,2,2,4,4,6,6,9,5,12,9,5,6,10,4,11,4,5,6,6,3,4,2,4,2,5,2,1,3,10,7,5,3,4,5,5,3,10,16,12,10,5,2,7,4,7,8,14,12,3,4,5,8,10,3,6,1,4,8,8,4,8,9,10,9,3,3,9,4,16,8,11,5,7,5,6,3,16,10,14,9,8,4,9,3,7,7,5,1,3,1,6,1,8,5,10,6,6,0,5,6,7,6,6,2,4,7,6,2,8,3,3,8,4,4,4,4,2,3,1,3,4,4,8,3,2,2,7,7,6,0,4,2,5,7,3,5,3,2,8,3,6,4,14,6,5,5,5,5,4,3,3,1,2,4,6,0,5,1,2,2,3,0,4,1,rRNA
URS000000040B/uncultured,1,1,2,1,3,4,3,4,3,0,7,3,2,1,4,4,4,4,6,0,2,1,2,5,2,6,9,1,1,1,7,1,8,2,2,7,3,3,9,2,2,4,10,7,3,3,4,0,2,3,3,1,0,4,2,1,7,6,7,3,1,5,0,2,3,5,4,2,3,3,4,1,1,6,2,2,0,3,2,0,1,2,4,5,2,1,2,1,1,1,3,4,0,0,4,1,3,4,3,2,4,5,5,4,9,3,2,5,5,2,5,2,3,2,4,1,0,0,3,2,6,5,4,1,1,0,4,1,4,11,8,9,1,0,3,4,4,7,9,3,3,2,5,3,6,1,2,0,5,3,1,3,6,6,6,3,3,2,5,4,11,3,8,3,6,2,6,3,8,8,6,5,5,3,9,2,7,2,3,0,5,2,5,1,8,0,6,3,3,1,4,3,5,2,6,1,2,1,5,3,5,3,4,4,3,3,2,2,2,1,1,0,1,2,2,3,1,1,5,3,4,0,4,3,2,1,5,4,1,3,5,2,3,7,7,4,2,3,2,1,3,0,2,2,1,2,1,1,2,1,3,0,2,1,1,0,rRNA
URS0000000501/uncultured,3,3,3,3,6,10,6,8,4,6,9,3,1,1,4,3,7,3,6,6,2,7,10,8,7,11,8,3,5,7,5,2,11,2,4,6,10,6,10,8,11,11,9,6,3,11,5,5,6,8,5,2,6,6,8,3,6,9,11,2,0,4,6,3,4,5,7,5,3,4,4,2,5,9,8,7,2,1,6,1,8,5,12,2,2,1,6,4,3,6,3,9,3,7,4,3,10,5,9,3,15,6,3,5,8,5,13,10,7,4,14,1,7,5,4,1,4,3,4,2,7,5,10,3,6,2,2,2,8,16,19,13,7,4,6,3,6,10,12,10,3,7,13,6,5,6,13,1,2,6,6,5,6,3,8,10,4,4,13,4,17,7,10,4,6,6,5,7,17,8,9,11,9,4,7,5,8,6,5,2,6,2,5,3,9,5,18,4,9,0,6,4,5,6,8,4,7,5,7,3,7,7,5,9,2,3,1,4,7,3,2,2,6,5,8,3,2,3,10,4,6,1,4,1,5,4,5,4,4,6,5,8,5,8,18,3,5,3,6,6,2,1,5,0,2,4,3,1,3,4,1,1,1,3,2,2,rRNA
URS0000000353/uncultured,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,1,2,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,2,0,1,0,1,0,1,2,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,rRNA
URS00000000A1/uncultured,5,3,4,3,9,4,9,8,2,7,9,4,5,4,4,4,6,6,12,4,2,5,2,5,4,4,8,6,0,11,9,5,12,3,3,10,8,4,7,8,8,8,11,7,7,8,6,2,7,8,5,7,5,4,7,4,9,6,8,1,2,3,9,3,6,4,4,3,4,8,5,2,4,7,4,7,3,4,7,3,8,6,5,2,3,1,6,4,7,2,5,5,7,1,4,1,6,2,5,4,10,6,4,4,8,6,9,6,6,2,8,4,5,5,4,1,5,2,1,3,7,6,8,2,4,2,2,4,5,13,15,13,5,5,8,2,1,8,11,4,9,4,7,6,4,5,7,8,4,4,4,4,4,4,4,5,4,3,6,2,11,3,7,4,6,4,6,6,11,6,7,12,2,3,10,5,9,9,5,3,6,3,3,3,9,8,10,5,10,2,5,6,10,5,9,7,4,2,3,8,6,6,8,6,6,6,4,8,4,5,2,2,6,4,5,2,5,4,8,3,7,2,3,3,5,7,4,10,4,3,6,2,5,4,4,8,7,4,6,3,6,2,3,3,5,3,2,3,6,2,6,2,3,0,4,5,rRNA
URS000000005E/uncultured,0,1,0,0,1,1,1,2,0,0,3,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,3,1,2,2,0,1,1,4,0,2,0,2,1,2,3,0,2,0,2,0,2,2,1,1,0,0,0,1,1,1,2,2,0,0,1,0,0,0,2,1,1,0,2,0,0,4,0,1,2,1,0,0,1,2,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,2,0,0,2,1,0,2,1,2,1,1,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,3,0,1,1,1,1,1,1,2,1,1,2,1,0,2,0,2,4,1,0,1,2,0,1,0,0,1,2,0,2,4,3,2,0,2,0,0,3,0,5,1,2,0,1,0,3,0,1,0,1,0,0,2,3,0,2,0,3,0,1,0,1,0,2,0,0,2,0,1,2,1,2,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,6,0,2,2,0,1,1,1,0,0,3,0,0,0,1,1,1,1,2,0,0,0,0,0,rRNA
URS0000000103/uncultured,2,1,2,4,4,3,2,1,4,1,2,3,2,3,1,0,1,2,1,3,1,2,2,6,2,5,1,0,1,4,1,3,4,2,1,0,2,1,1,1,1,5,2,3,3,4,4,2,2,1,2,0,2,4,5,5,0,3,5,0,0,1,2,1,2,3,1,1,3,2,2,3,2,1,1,3,0,1,4,0,1,3,2,1,2,1,1,0,2,0,1,4,2,0,1,5,3,0,4,3,2,2,2,1,4,1,2,2,2,2,2,1,2,3,2,2,4,1,2,0,4,2,3,3,4,3,3,0,2,6,4,2,2,1,1,3,4,1,5,5,1,2,3,1,2,1,3,2,0,2,2,2,2,1,3,3,2,1,4,2,7,3,4,4,2,2,2,4,2,0,5,3,1,2,2,2,2,3,5,0,1,2,2,0,2,6,3,2,3,1,2,1,0,1,3,2,2,3,1,1,4,2,0,2,1,3,4,2,4,2,2,3,3,2,3,2,2,0,4,1,2,0,2,1,0,2,3,1,2,2,1,2,4,0,7,5,3,4,4,2,2,1,1,0,0,1,2,0,2,1,2,2,1,0,1,0,rRNA
URS00000004AE/uncultured,1,1,1,1,1,0,3,1,1,2,2,0,0,1,4,0,0,1,3,2,1,2,2,2,2,2,1,2,1,2,4,1,3,1,1,3,0,1,1,3,0,5,2,6,0,3,6,2,1,1,0,0,1,1,3,4,1,1,2,0,1,4,0,0,2,0,2,2,1,3,0,2,1,2,3,1,1,1,3,0,1,1,1,2,0,0,1,0,4,1,3,2,2,1,0,3,0,2,0,1,3,3,0,3,2,1,4,4,2,2,2,2,3,2,0,1,5,0,3,0,2,1,3,2,4,1,0,0,0,4,4,1,3,1,1,2,1,2,1,2,1,2,2,1,1,2,3,1,1,2,1,2,1,1,3,3,1,2,2,2,3,3,6,1,3,2,2,3,5,0,2,3,0,1,1,2,3,6,2,0,0,2,3,1,4,3,4,3,4,1,1,3,2,0,4,3,2,3,2,0,1,4,3,3,1,2,1,1,4,1,1,1,3,1,3,1,1,3,2,2,1,0,1,2,3,0,0,2,0,1,4,1,2,1,4,0,1,3,2,4,1,0,1,0,1,0,4,1,0,1,2,0,1,3,0,0,rRNA
URS000000010B/uncultured,1,0,2,0,4,0,1,4,0,2,6,3,0,2,2,2,2,1,3,1,3,2,1,1,1,2,4,1,1,1,3,2,5,3,1,6,3,1,2,3,3,3,6,4,3,3,2,4,3,1,4,1,0,2,2,3,4,1,3,1,0,1,0,0,3,2,3,1,2,3,2,0,2,4,1,2,1,1,3,1,0,4,1,2,2,1,1,1,1,0,3,1,4,0,0,0,2,0,2,2,2,5,2,2,3,5,2,2,3,1,2,0,1,2,1,4,0,1,1,2,0,4,0,1,0,1,2,2,2,3,4,2,0,2,5,2,2,4,5,1,6,1,5,1,2,1,3,1,3,3,3,1,4,2,3,1,1,1,2,1,1,3,5,2,3,1,0,0,4,2,2,2,4,2,2,3,3,2,2,1,3,2,1,2,4,1,3,2,4,3,3,4,1,4,2,3,1,1,4,0,2,0,4,2,2,0,2,2,3,0,3,0,1,2,2,1,1,0,1,5,2,1,3,3,3,1,2,2,0,1,3,3,3,1,2,4,3,1,0,1,1,4,2,3,0,1,1,0,6,0,2,2,1,2,3,1,rRNA
URS0000000239/Variovorax,4,4,4,4,9,9,7,5,4,6,8,1,2,2,5,2,3,4,8,1,5,5,6,7,6,12,10,8,4,3,10,4,9,6,4,5,7,5,9,5,7,15,9,9,6,7,6,4,4,10,4,0,3,10,9,2,7,7,8,1,2,3,6,2,7,7,5,7,3,5,7,3,4,7,3,4,1,5,8,1,9,7,6,4,3,2,4,4,6,4,7,6,3,2,4,2,8,3,5,6,13,10,8,3,8,4,9,10,8,5,7,3,6,4,5,1,6,0,3,1,5,7,11,6,4,4,3,3,5,12,12,13,5,5,10,4,3,12,13,12,5,5,8,6,6,5,9,4,4,4,5,6,7,4,6,5,3,4,10,6,14,7,12,7,7,2,9,6,15,5,13,5,6,3,9,6,10,5,5,2,4,2,5,7,10,6,14,8,8,2,4,2,6,5,7,3,4,5,8,5,8,3,2,6,6,4,6,2,5,5,4,5,5,6,7,0,3,4,9,6,4,2,5,1,3,6,3,6,4,3,4,8,7,3,11,5,7,5,8,6,5,5,3,0,3,0,2,1,4,4,2,4,0,2,5,1,rRNA
URS00000000DE/uncultured,4,2,3,2,4,5,3,1,3,1,4,0,0,0,2,1,1,2,2,1,2,3,6,3,3,8,4,1,2,3,1,2,3,1,4,2,1,1,3,1,3,7,4,7,3,8,6,3,2,3,2,0,2,5,7,2,4,3,4,1,1,1,5,0,3,4,3,2,2,3,4,3,2,2,4,3,1,0,4,1,6,5,3,2,1,2,1,2,4,4,3,4,3,1,1,2,5,1,3,1,7,5,2,1,2,0,5,6,3,4,3,0,5,2,1,2,6,0,0,0,4,0,5,4,3,1,3,1,1,8,5,4,3,1,2,2,0,4,5,9,1,4,4,2,4,3,4,3,2,3,4,3,1,1,3,7,2,1,8,2,5,4,6,3,2,1,3,4,7,1,6,4,1,3,4,6,3,3,4,0,1,1,4,3,7,5,9,5,3,2,3,1,2,2,5,2,5,4,5,3,2,2,1,5,2,2,3,2,4,4,0,2,4,2,3,0,1,0,3,3,1,2,2,0,2,4,1,3,1,5,0,5,4,2,7,3,5,4,4,5,2,2,1,0,3,0,3,0,1,2,1,0,0,1,3,0,rRNA
